Data da Postagem,Número de Curtidas,Número de Comentários
2024-12-01 16:42:30,-1,21
2024-11-10 22:36:04,18,5
2024-11-04 15:46:57,4,0
2024-10-22 21:36:54,12,3
2024-09-30 19:46:23,5,0
2024-09-30 19:45:15,1,0
2024-09-30 19:43:02,2,0
2024-08-01 01:04:28,5,1
2024-06-17 19:07:43,6,1
2024-05-24 22:44:58,12,4
2024-05-03 13:11:09,8,2
2024-05-02 14:44:25,8,1
2024-04-24 21:29:40,2,0
2024-04-24 21:27:19,8,2
2024-04-24 21:22:32,3,0
2024-01-29 21:52:27,10,2
2023-11-03 22:00:13,12,1
2023-10-31 21:45:34,14,2
2023-10-27 00:03:02,10,4
2023-10-25 20:53:59,111,8
2023-10-20 22:13:20,50,4
2023-09-22 00:46:07,29,0
2023-09-22 00:45:17,8,1
2023-09-20 21:51:56,12,1
2023-09-12 21:44:15,10,2
2023-09-12 21:43:44,7,0
2023-09-12 21:31:34,16,2
2023-08-31 00:27:04,14,4
2023-08-29 20:58:42,9,3
2023-08-28 20:52:11,13,2
2023-08-21 00:13:06,16,4
2023-08-21 00:05:04,5,1
2023-08-17 22:21:09,8,0
2023-08-17 00:29:16,7,1
2023-07-31 22:32:17,6,0
2023-07-27 21:16:01,13,0
2023-07-20 22:54:02,15,4
2023-07-19 00:15:00,22,3
2023-07-18 01:57:59,6,0
2023-07-13 21:40:11,8,2
2023-07-12 21:38:44,3,0
2023-07-12 18:13:35,7,0
2023-07-12 13:59:25,2,0
2023-07-11 13:28:31,14,0
2023-07-05 21:24:10,7,0
2023-07-05 21:19:54,4,0
2023-06-28 17:07:21,8,0
2023-06-05 21:40:19,7,1
2023-05-25 00:09:52,24,2
2023-05-23 16:32:20,8,0
2023-05-23 16:25:49,11,1
2023-05-11 21:15:07,6,0
2023-05-03 20:55:48,12,2
2023-05-02 23:11:01,5,0
2023-05-02 23:09:04,8,4
2023-05-02 23:07:48,5,0
2023-04-24 21:55:35,54,7
2023-04-20 23:27:11,33,7
2023-03-16 22:19:11,21,5
2023-01-20 21:14:44,11,0
2023-01-19 20:47:06,11,1
2023-01-11 21:34:04,21,3
2022-12-05 21:47:18,15,2
2022-11-21 21:14:48,24,2
2022-10-14 21:15:56,21,3
2022-10-08 18:33:19,36,10
2022-10-08 17:46:34,21,6
2022-10-04 21:46:19,21,6
2022-07-18 21:46:36,8,0
2022-07-18 20:56:17,13,3
2022-07-11 22:01:06,26,3
2022-07-06 23:26:58,6,1
2022-06-26 23:28:09,57,4
2022-06-20 23:39:55,14,5
2022-05-30 20:17:19,12,1
2022-05-30 20:01:19,39,3
2022-05-10 19:41:10,9,0
2022-05-10 19:39:11,7,0
2022-05-10 19:09:03,14,2
2022-04-28 23:12:52,4,0
2022-04-28 23:12:00,6,0
2022-03-24 22:54:05,7,0
2022-03-24 22:53:28,4,0
2022-03-23 22:32:18,14,2
2022-03-23 22:31:49,7,0
2022-03-23 22:30:51,7,0
2022-03-16 23:09:09,6,1
2022-03-16 23:08:47,6,1
2022-03-16 23:03:49,9,2
2022-03-16 01:06:39,6,1
2022-03-16 01:05:44,17,1
2022-03-14 19:40:38,9,2
2022-03-03 17:01:18,7,2
2022-02-10 22:44:41,6,1
2022-02-10 22:15:59,7,1
2022-02-07 23:41:29,10,1
2022-02-07 23:40:26,13,1
2022-02-07 23:37:55,8,1
2022-01-17 17:20:10,7,1
2022-01-17 15:49:02,17,2
2022-01-13 01:14:58,15,3
2022-01-06 22:27:37,8,1
2022-01-06 22:27:05,6,1
2022-01-05 20:50:51,17,2
2022-01-05 14:58:12,13,3
2021-12-30 15:49:40,6,1
2021-12-30 15:49:08,15,1
2021-12-30 15:43:27,4,0
2021-12-27 16:45:05,23,1
2021-12-09 21:23:49,16,0
2021-12-09 21:16:30,12,1
2021-12-09 16:25:57,36,4
